,value,end_time
0,{'1': 1},2021-01-02T08:00:00+0000
1,{},2021-01-03T08:00:00+0000
2,{},2021-01-04T08:00:00+0000
3,{},2021-01-05T08:00:00+0000
4,{'1': 1},2021-01-06T08:00:00+0000
5,{},2021-01-07T08:00:00+0000
6,{'1': 1},2021-01-08T08:00:00+0000
7,{},2021-01-09T08:00:00+0000
8,{},2021-01-10T08:00:00+0000
9,{},2021-01-11T08:00:00+0000
10,"{'1': 1, '3': 1, '6-10': 1}",2021-01-12T08:00:00+0000
11,{},2021-01-13T08:00:00+0000
12,{},2021-01-14T08:00:00+0000
13,{},2021-01-15T08:00:00+0000
14,{'2': 1},2021-01-16T08:00:00+0000
15,{'1': 1},2021-01-17T08:00:00+0000
16,{},2021-01-18T08:00:00+0000
17,{'1': 1},2021-01-19T08:00:00+0000
18,{'1': 1},2021-01-20T08:00:00+0000
19,{},2021-01-21T08:00:00+0000
20,{},2021-01-22T08:00:00+0000
21,{'1': 1},2021-01-23T08:00:00+0000
22,{'1': 1},2021-01-24T08:00:00+0000
23,{},2021-01-25T08:00:00+0000
24,{},2021-01-26T08:00:00+0000
25,{},2021-01-27T08:00:00+0000
26,{'2': 1},2021-01-28T08:00:00+0000
27,{},2021-01-29T08:00:00+0000
28,{},2021-01-30T08:00:00+0000
29,{},2021-01-31T08:00:00+0000
30,{'1': 1},2021-02-01T08:00:00+0000
31,{},2021-02-02T08:00:00+0000
32,{},2021-02-03T08:00:00+0000
33,{},2021-02-04T08:00:00+0000
34,{},2021-02-05T08:00:00+0000
35,{},2021-02-06T08:00:00+0000
36,{},2021-02-07T08:00:00+0000
37,{},2021-02-08T08:00:00+0000
38,{},2021-02-09T08:00:00+0000
39,{'1': 1},2021-02-10T08:00:00+0000
40,{},2021-02-11T08:00:00+0000
41,{},2021-02-12T08:00:00+0000
42,{'1': 1},2021-02-13T08:00:00+0000
43,{'1': 1},2021-02-14T08:00:00+0000
44,{},2021-02-15T08:00:00+0000
45,{'1': 1},2021-02-16T08:00:00+0000
46,{},2021-02-17T08:00:00+0000
47,{},2021-02-18T08:00:00+0000
